$package,$start,$end,$commitNum,$numFailedTestSuites,$numFailedTests,$numPassedTestSuites,$numPassedTests,$numPendingTestSuites,$numPendingTests,$numRuntimeErrorTestSuites,$numTotalTestSuites,$numTotalTests
adele,1661348381,1661348704,8f93337,,,,,,,,,
AngularFundamentalsFiles,1661348749,1661348757,0b3a564,,,,,,,,,
blockbench,1661348757,1661348914,bd29850,,,,,,,,,
cavy,1661348942,1661349006,bd82093,,,,,,,,,
adele,1661349147,1661349554,8f93337,1,1,19,31,0,0,0,20,32
AngularFundamentalsFiles,1661349602,1661349611,0b3a564,,,,,,,,,
blockbench,1661349611,1661349772,bd29850,,,,,,,,,
cavy,1661349800,1661349873,bd82093,0,0,1,4,0,0,0,1,4
ChromeWebLab,1661349883,1661349951,60f964b,1,0,0,0,0,0,1,1,0
configure-aws-credentials,1661349960,1661350041,67fbcbb,0,0,2,33,0,0,0,2,33
cordova-weinre,1661350052,1661350067,e7433e2,,,,,,,,,
create-component-app,1661350068,1661350232,67ae259,0,0,14,66,0,0,0,14,66
derivablejs,1661350248,1661350406,f334daa,0,0,10,77,0,0,0,10,77
descartes,1661350426,1661350434,e3dce13,,,,,,,,,
dext,1661350434,1661350897,50713d8,0,0,13,52,0,0,0,13,52
drizzle-legacy,1661350950,1661351011,b86f948,10,0,0,0,0,0,10,10,0
example-projects,1661351011,1661351045,e1be50ed,,,,,,,,,
facepaint,1661351047,1661351243,a0166db,0,0,2,21,0,0,0,2,21
fibre,1661354639,1661354665,4d9d21e,,,,,,,,,
flare,1661354666,1661354771,b39227b,,,,,,,,,
fullpage,1661354787,1661354793,c5fd8e4,,,,,,,,,
GitterMobile,1661354793,1661355079,8feb4b3,2,0,0,0,0,0,2,2,0
glam,1661355113,1661355300,9fdabd4,1,0,4,4,1,1,1,6,5
jekyll-hook,1661355326,1661355338,2b00c71,,,,,,,,,
jquery-audit,1661355339,1661355347,e12f4c9,,,,,,,,,
JSV,1661355347,1661355351,e539d4d,,,,,,,,,
konsul,1661355351,1661355392,fb8b41f,,,,,,,,,
LaTeX2JS,1661355397,1661355711,feff6a0,,,,,,,,,
load.js,1661355763,1661355772,3acd55a,,,,,,,,,
lock,1661355772,1661356414,18391c35,0,0,61,383,0,0,0,61,383
loud-links,1661356472,1661356479,7b4b710,,,,,,,,,
machine_learning,1661356479,1661356483,ae05b3e,,,,,,,,,
maizuo,1661356483,1661356493,34b018b,,,,,,,,,
map-chat,1661356494,1661356500,fd78c08,,,,,,,,,
mcfly,1661356500,1661356648,7642c12,,,,,,,,,
micro-analytics-cli,1661356670,1661356795,65a2f30,10,0,0,0,0,0,10,10,0
mogo-chat,1661356810,1661356819,108c611,,,,,,,,,
multiselect,1661356819,1661356825,71eda5f,,,,,,,,,
next-compose-plugins,1661356825,1661357027,d81db51,0,0,8,54,0,0,0,8,54
nothing-to-hide,1661357051,1661357088,ab02e8c,,,,,,,,,
npk,1661357091,1661357104,b0505a7,,,,,,,,,
Photoshop-Export-Layers-to-Files-Fast,1661357105,1661357113,2c3e48f,,,,,,,,,
pivotal-ui,1661357114,1661357732,65f68b4d,0,0,58,1057,0,0,0,58,1057
preset-modules,1661357770,1661358087,488d219,1,6,5,55,0,0,0,6,61
proxymise,1661358120,1661358272,d23e0a3,3,5,5,18,0,0,0,8,23
pxview,1661358288,1661358838,583e9a0,1,0,0,0,0,0,1,1,0
Qatrix,1661358921,1661358928,760a563,,,,,,,,,
react.backbone,1661358928,1661358979,0b0276c,,,,,,,,,
react-contextual,1661358986,1661359176,2f4bec2,6,0,0,0,0,0,6,6,0
React-Dropzone-Component,1661359203,1661359376,78677ed,2,0,0,0,0,0,2,2,0
react-loading,1661359397,1661359596,4982465,0,0,1,8,0,0,0,1,8
react-loops,1661359619,1661359747,18ee1a1,0,0,1,28,0,0,0,1,28
react-native-android-lession,1661359760,1661359768,e685dab,,,,,,,,,
React-Native-App,1661359768,1661359776,a1a5939,,,,,,,,,
react-native-button,1661359776,1661359933,8c75828,1,0,0,0,0,0,1,1,0
react-native-dva-starter,1661359957,1661360244,062852d,2,0,0,0,0,0,2,2,0
react-native-Gank,1661360289,1661360533,8beb21a,,,,,,,,,
react-native-really-awesome-button,1661360568,1661360756,b8c856d,0,0,1,10,0,0,0,1,10
react-native-store,1661360779,1661360997,ef5d168,,,,,,,,,
react-native-typescript-transformer,1661361031,1661361224,369a457,0,0,2,20,0,0,0,2,20
ReactPrimer,1661361252,1661361568,2a0b835,0,0,2,12,1,1,0,3,13
React-Spreadsheet-Component,1661361606,1661361800,1980293,0,0,4,9,0,0,0,4,9
react-stdio,1661361827,1661361973,6948925,0,0,1,4,0,0,0,1,4
react-switch,1661361988,1661361997,206e66d,3,0,0,0,0,0,3,3,0
react-tdd-guide,1661361997,1661362117,0f36f2f,4,0,0,0,0,0,4,4,0
redux-responsive,1661362138,1661362400,a546003,0,0,6,36,0,1,0,6,37
redux-ship,1661362427,1661362608,2364ace,0,0,1,7,0,0,0,1,7
rifm,1661362630,1661363012,b51d843,0,0,4,22,0,0,0,4,22
sample_app_rails_4,1661363058,1661363067,fd4f6f5,,,,,,,,,
semantic-pull-requests,1661363067,1661363249,f4916f4,0,0,2,41,0,0,0,2,41
serve,1661363273,1661363299,f5d73e9,,,,,,,,,
shineout,1661363303,1661365136,bf446301,1,1,128,754,0,0,0,129,755
skywriter,1661398070,1661398089,ccb9e765,,,,,,,,,
stacksort,1661398090,1661398096,1da3f65,,,,,,,,,
streakjs-weapp,1661398096,1661398104,21b32c9,,,,,,,,,
style-resources-module,1661398104,1661398742,45ef8de,,,,,,,,,
susi_twitchbot,1661398792,1661398819,96d8328,,,,,,,,,
table-dragger,1661398823,1661399074,1dcbed9,2,2,0,6,0,0,0,2,8
ThreeAudio.js,1661399101,1661399109,d3f6b5c,,,,,,,,,
thunderbird,1661399109,1661399115,90a05d2,,,,,,,,,
Timeline,1661399115,1661399121,3e4b131,,,,,,,,,
tinytime,1661399122,1661399287,656cfc0,0,0,1,17,0,0,0,1,17
tuneup_js,1661399307,1661399313,456fede,,,,,,,,,
vue-develop-template,1661399313,1661399578,4595d51,,,,,,,,,
whenipress,1661399608,1661399814,294b7f1,0,0,2,34,0,0,0,2,34
